username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Trying to outlast Hellion Husk's crap. 🇺🇸🇺🇦🌻,15726227,Chicago,2023-01-19 17:42:21,"Also ...
H/T @ChiPublicSquare 
https://t.co/Bj07CkSDpq",0,Twitter Web App,
Patrick,49503473,"Chicago, IL",2023-01-19 15:54:47,@anderson_corri @grantcohn Do you think Seattle should trade up to the Bears pick to get the Alabama QB?,0,Twitter Web App,
National Private Lending,1449082878139191301,Chicago IL,2023-01-19 14:44:22,Purchase or refinance a single rental property with National Private Lending Rental Property Loan… https://t.co/7U5IB6umCD,0,IFTTT,
frijoLiz,1315326801103785984,"Chicago, IL",2023-01-19 13:24:13,Seattle was probably one of the cities with most burning cop car requests so here it is! 🔥 https://t.co/6qosHkuPNo,27,Twitter for iPhone,
Chalkbeat Chicago,951569031500312578,"Chicago, IL",2023-01-19 05:15:19,"As school districts sue social media companies, experts are divided on what comes next https://t.co/GCvlAKxMKv",1,Echobox,
Dorian,3258460953,"Chicago, IL",2023-01-19 04:28:28,I'm not gonna be able to explain this one but the ppl of Seattle walk around you -- they don't walk past you,0,Twitter for Android,
Alex Severino,1397461326,Chicago,2023-01-19 03:58:47,"@icameonmybike I saw a boat, on a boat once in Seattle. I was bemused",0,Twitter for iPhone,
RailfannerGuy13,1295839853515608065,Chicago Illinois,2023-01-19 03:09:42,Morton Grove Railfanning with new Amtrak Alc-42 AMTK 300 leading Amtrak 7 to Seattle and Portland 1/5/22 @Metra… https://t.co/puSyWCUrtn,0,Twitter for iPhone,
Billy P,1490733505285959681,"Plano, IL",2023-01-19 01:35:56,"@JayDizzyD Everyone says no! 🤣
What a crap ass deal to Seattle",0,Twitter for iPhone,
4superItalianbeefcheesybeefcombos 🔬🕳💣,143934726,Chicago,2023-01-19 01:15:03,G I feel like I’m in Seattle or sum shit https://t.co/ECE98tsO6E,1,Twitter for iPhone,
Antisocialmedia,1166974561,"Chicago, IL",2023-01-18 23:57:04,Downtown Seattle is ran down. Makes sense https://t.co/yPg7QzozkT,0,Twitter for iPhone,
Nathan Reeder,28124677,"Hammond, IN",2023-01-18 23:47:29,"@dpelletiere @urbaninstitute @atrueblood It is unfortunate that ""tenant advocates"" ignore science from the front li… https://t.co/A2ovCBQYkT",0,Twitter for Android,
Lavonte Rogers,3160459838,"Chicago, IL",2023-01-18 23:40:10,@JayDizzyD Tf Seattle no doubt says no to this doubt it that Pete Carroll even picks the phone up 😂😂😂,0,Twitter for iPhone,
john hancock,577753258,"Chicago, IL",2023-01-18 23:30:04,"@JayDizzyD Definitely Seattle. Two 1sts, their best WR and a stud DB for Aaron Rodgers after geno had a solid year and a 90 year wr",0,Twitter for iPhone,
Josh Simons ⚔️,131657466,"Chicago, IL",2023-01-18 23:11:39,"The first time Taymoor and I ever got together at Mox in Seattle, we talked about the UA feedback process for nearl… https://t.co/QhBUCmDree",8,Twitter Web App,
sg,209745235,"Chicago, IL",2023-01-18 23:08:33,@based_seattle He was far more courteous and gentlemanly than he needed to be.,0,Twitter for iPhone,
Brandon Anderson,30068064,"Aurora, IL",2023-01-18 22:51:56,"✅ Seattle +1500 to make the playoffs

If you cashed Seattle Island 🏝 with a Lions victory, this shirt is a great wa… https://t.co/wtz7yMUqMp",0,Twitter for iPhone,
